MemberID,Category,Gender,AgeGroup,Education,PapersPassed,ExamSystem,AreaOfPractice,OtherMembership,Province,City,JoinYear
ASN1000,Student,Male,20-29,Master,3,IAI,Student / Not yet practicing,Independent,Lumbini,Bhairahawa,2022
ASN1001,Student,Female,40-49,Master,7,IAI,Data Science & Analytics,Independent,Bagmati,Lalitpur,2023
ASN1002,Student,Male,20-29,Master,0,SOA,Consulting,Independent,Bagmati,Bhaktapur,2023
ASN1003,Student,Male,50-59,Bachelor,3,IFoA,Consulting,SOA,Bagmati,Kathmandu,2023
ASN1004,Student,Female,30-39,Bachelor,5,SOA,Student / Not yet practicing,Independent,Bagmati,Bhaktapur,2019
ASN1005,Associate,Male,20-29,Master,11,IFoA,Data Science & Analytics,CAS,Gandaki,Gorkha,2019
ASN1006,Student,Male,20-29,Master,7,IFoA,Student / Not yet practicing,Independent,Bagmati,Lalitpur,2022
ASN1007,Associate,Male,30-39,Bachelor,12,IAI,Non-Life Insurance,IFoA,Koshi,Itahari,2024
ASN1008,Student,Male,20-29,Bachelor,3,IAI,Health,Independent,Bagmati,Bhaktapur,2022
ASN1009,Associate,Male,40-49,Bachelor,10,IAI,Banking & Finance,SOA,Bagmati,Lalitpur,2025
ASN1010,Affiliate,Male,40-49,Other,2,SOA,Consulting,Independent,Bagmati,Kathmandu,2025
ASN1011,Student,Male,20-29,Master,6,IAI,Student / Not yet practicing,Independent,Lumbini,Butwal,2023
ASN1012,Student,Male,30-39,Bachelor,5,IAI,Student / Not yet practicing,Independent,Bagmati,Kathmandu,2023
ASN1013,Associate,Female,50-59,Bachelor,12,IFoA,Life Insurance,Independent,Bagmati,Lalitpur,2018
ASN1014,Student,Male,20-29,Master,3,IFoA,Academia,Independent,Gandaki,Gorkha,2017
ASN1015,Student,Female,40-49,Master,4,IAI,Student / Not yet practicing,SACTUARY,Koshi,Biratnagar,2024
ASN1016,Fellow,Male,50-59,Bachelor,15,IFoA,Health,Independent,Madhesh,Janakpur,2025
ASN1017,Associate,Female,30-39,PhD,12,IAI,Life Insurance,SOA,International,Mumbai,2024
ASN1018,Student,Female,40-49,Bachelor,1,SOA,Student / Not yet practicing,Independent,Bagmati,Lalitpur,2021
ASN1019,Affiliate,Male,30-39,Master,0,IAI,Life Insurance,Independent,Sudurpashchim,Dhangadhi,2021
ASN1020,Student,Male,50-59,Bachelor,1,IAI,Life Insurance,IAI,Bagmati,Kathmandu,2022
ASN1021,Student,Female,30-39,Bachelor,6,SOA,Student / Not yet practicing,Independent,Bagmati,Lalitpur,2022
ASN1022,Associate,Female,30-39,Master,8,None yet,Non-Life Insurance,Independent,Bagmati,Lalitpur,2019
ASN1023,Associate,Male,30-39,Other,10,IFoA,Student / Not yet practicing,Independent,Bagmati,Lalitpur,2019
ASN1024,Student,Male,30-39,Bachelor,7,IFoA,Student / Not yet practicing,Independent,Koshi,Biratnagar,2022
ASN1025,Student,Male,30-39,Bachelor,3,IAI,Data Science & Analytics,Independent,Madhesh,Birgunj,2023
ASN1026,Associate,Male,40-49,Bachelor,8,IAI,Student / Not yet practicing,IFoA,Bagmati,Lalitpur,2017
ASN1027,Fellow,Female,30-39,Bachelor,13,IFoA,Consulting,SOA,Bagmati,Bhaktapur,2025
ASN1028,Fellow,Male,30-39,Bachelor,14,IAI,Banking & Finance,SOA,Bagmati,Kathmandu,2019
ASN1029,Student,Female,20-29,PhD,3,IAI,Student / Not yet practicing,Independent,International,Mumbai,2023
ASN1030,Student,Male,20-29,Bachelor,7,IFoA,Student / Not yet practicing,Independent,Bagmati,Bhaktapur,2019
ASN1031,Student,Male,20-29,Bachelor,5,IAI,Student / Not yet practicing,Independent,Bagmati,Kathmandu,2025
ASN1032,Affiliate,Female,30-39,Bachelor,3,IFoA,Academia,Independent,Madhesh,Birgunj,2021
ASN1033,Student,Male,20-29,Master,4,SOA,Enterprise Risk,Independent,Bagmati,Lalitpur,2025
ASN1034,Fellow,Male,60+,Master,15,IFoA,Data Science & Analytics,Independent,International,London,2019
ASN1035,Student,Male,20-29,Master,2,IFoA,Student / Not yet practicing,Independent,Lumbini,Bhairahawa,2023
ASN1036,Affiliate,Male,20-29,Bachelor,3,IAI,Consulting,Independent,Lumbini,Butwal,2025
ASN1037,Student,Male,20-29,Bachelor,6,IAI,Banking & Finance,SOA,International,Sydney,2024
ASN1038,Student,Male,40-49,Master,3,IFoA,Student / Not yet practicing,Independent,Lumbini,Bhairahawa,2025
ASN1039,Student,Male,20-29,Master,8,IFoA,Life Insurance,Independent,Madhesh,Janakpur,2022
ASN1040,Associate,Male,50-59,Master,9,IAI,Student / Not yet practicing,Independent,Bagmati,Bhaktapur,2025
ASN1041,Student,Male,30-39,Bachelor,7,CAS,Life Insurance,IAI,Bagmati,Bhaktapur,2025
ASN1042,Student,Male,20-29,Bachelor,6,IAI,Student / Not yet practicing,Independent,Bagmati,Kathmandu,2024
ASN1043,Affiliate,Female,40-49,Master,4,SOA,Life Insurance,IAI,Bagmati,Bhaktapur,2023
